69.175.126.170 - - [30/Jan/2013:00:41:08 -0600] "GET / HTTP/1.0" 200 11424
144.124.25.241 - - [30/Jan/2013:06:57:30 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:57:34 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 71
144.124.25.241 - - [30/Jan/2013:06:59:21 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:59:23 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 26
144.124.25.241 - - [30/Jan/2013:07:01:30 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:07:01:32 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 26
144.124.2.120 - - [30/Jan/2013:07:22:44 -0600] "GET /monstermash/ HTTP/1.1" 200 1544
144.124.2.120 - - [30/Jan/2013:07:22:45 -0600] "GET /monstermash/static/normalize.css HTTP/1.1" 200 7742
144.124.2.120 - - [30/Jan/2013:07:22:45 -0600] "GET /monstermash/static/theme.css HTTP/1.1" 200 1724
144.124.2.120 - - [30/Jan/2013:07:22:45 -0600] "GET /monstermash/static/images/pw_maze_black.png HTTP/1.1" 200 600
144.124.2.120 - - [30/Jan/2013:07:22:45 -0600] "GET /monstermash/static/images/scare.jpg HTTP/1.1" 200 425284
144.124.2.120 - - [30/Jan/2013:07:22:47 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
144.124.2.120 - - [30/Jan/2013:07:23:01 -0600] "GET /monstermash/ HTTP/1.1" 200 1544
144.124.2.120 - - [30/Jan/2013:07:26:43 -0600] "GET /monstermash/ HTTP/1.1" 200 1544
144.124.137.69 - - [30/Jan/2013:07:29:24 -0600] "GET /tomcat.png HTTP/1.1" 200 5103
144.124.137.69 - - [30/Jan/2013:07:29:24 -0600] "GET /tomcat.css HTTP/1.1" 200 5926
144.124.137.69 - - [30/Jan/2013:07:29:24 -0600] "GET / HTTP/1.1" 200 11444
144.124.137.69 - - [30/Jan/2013:07:29:24 -0600] "GET /bg-nav.png HTTP/1.1" 200 1401
144.124.137.69 - - [30/Jan/2013:07:29:24 -0600] "GET /bg-upper.png HTTP/1.1" 200 3103
144.124.137.69 - - [30/Jan/2013:07:29:24 -0600] "GET /bg-button.png HTTP/1.1" 200 713
144.124.137.69 - - [30/Jan/2013:07:29:24 -0600] "GET /bg-middle.png HTTP/1.1" 200 1918
144.124.137.69 - - [30/Jan/2013:07:29:24 -0600] "GET /asf-logo.png HTTP/1.1" 200 17811
144.124.137.69 - - [30/Jan/2013:07:29:25 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
144.124.137.69 - - [30/Jan/2013:07:29:32 -0600] "GET /webapp HTTP/1.1" 404 963
144.124.137.69 - - [30/Jan/2013:07:29:55 -0600] "GET /webapps HTTP/1.1" 404 965
144.124.137.69 - - [30/Jan/2013:07:30:00 -0600] "GET /webapps/ HTTP/1.1" 404 967
144.124.137.69 - - [30/Jan/2013:07:30:56 -0600] "GET /manager/status HTTP/1.1" 401 2550
144.124.137.69 - - [30/Jan/2013:07:31:37 -0600] "GET / HTTP/1.1" 200 11444
144.124.137.69 - - [30/Jan/2013:07:31:37 -0600] "GET /tomcat.css HTTP/1.1" 200 5926
144.124.137.69 - - [30/Jan/2013:07:31:37 -0600] "GET /tomcat.png HTTP/1.1" 200 5103
144.124.137.69 - - [30/Jan/2013:07:31:37 -0600] "GET /bg-nav.png HTTP/1.1" 200 1401
144.124.137.69 - - [30/Jan/2013:07:31:37 -0600] "GET /bg-middle.png HTTP/1.1" 200 1918
144.124.137.69 - - [30/Jan/2013:07:31:37 -0600] "GET /bg-button.png HTTP/1.1" 200 713
144.124.137.69 - - [30/Jan/2013:07:31:37 -0600] "GET /bg-upper.png HTTP/1.1" 200 3103
144.124.137.69 - - [30/Jan/2013:07:31:37 -0600] "GET /asf-logo.png HTTP/1.1" 200 17811
144.124.137.69 - - [30/Jan/2013:07:31:38 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
144.124.137.69 - - [30/Jan/2013:07:32:13 -0600] "GET /manager/status HTTP/1.1" 401 2550
144.124.137.69 - - [30/Jan/2013:07:35:32 -0600] "GET /manager/status HTTP/1.1" 401 2550
144.124.137.69 - - [30/Jan/2013:07:35:35 -0600] "GET /manager/status HTTP/1.1" 401 2550
144.124.137.69 - - [30/Jan/2013:07:35:37 -0600] "GET / HTTP/1.1" 200 11444
144.124.137.69 - - [30/Jan/2013:07:35:48 -0600] "GET /index HTTP/1.1" 404 961
144.124.137.69 - - [30/Jan/2013:07:35:53 -0600] "GET /monstermashnew HTTP/1.1" 302 -
144.124.137.69 - - [30/Jan/2013:07:35:53 -0600] "GET /monstermashnew/ HTTP/1.1" 404 981
144.124.137.69 - - [30/Jan/2013:07:36:00 -0600] "GET / HTTP/1.1" 200 11444
144.124.25.241 - - [30/Jan/2013:07:37:24 -0600] "GET /monstermashgame HTTP/1.1" 404 981
144.124.25.241 - - [30/Jan/2013:07:37:30 -0600] "GET /monstermashnew HTTP/1.1" 302 -
144.124.25.241 - - [30/Jan/2013:07:37:30 -0600] "GET /monstermashnew/ HTTP/1.1" 404 981
144.124.25.241 - - [30/Jan/2013:07:37:38 -0600] "GET /monstermashnew HTTP/1.1" 302 -
144.124.25.241 - - [30/Jan/2013:07:37:39 -0600] "GET /monstermashnew/ HTTP/1.1" 404 981
144.124.25.241 - - [30/Jan/2013:07:37:44 -0600] "GET / HTTP/1.1" 200 11444
144.124.25.241 - - [30/Jan/2013:07:37:45 -0600] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:07:37:45 -0600] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
144.124.25.241 - admin [30/Jan/2013:07:37:45 -0600] "GET /manager/html HTTP/1.1" 200 25759
144.124.25.241 - admin [30/Jan/2013:07:38:00 -0600] "POST /manager/html/reload?path=/monstermashnew&org.apache.catalina.filters.CSRF_NONCE=A56CAFECCFB03107DDD6886964B179DC HTTP/1.1" 200 25816
144.124.25.241 - - [30/Jan/2013:07:38:10 -0600] "GET /monstermashnew HTTP/1.1" 302 -
144.124.25.241 - - [30/Jan/2013:07:38:11 -0600] "GET /monstermashnew/ HTTP/1.1" 404 981
144.124.25.241 - - [30/Jan/2013:07:38:17 -0600] "GET /monstermashnew/index.jsp HTTP/1.1" 404 999
144.124.25.241 - - [30/Jan/2013:07:38:56 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.25.241 - - [30/Jan/2013:07:38:56 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 200 2483
144.124.25.241 - - [30/Jan/2013:07:38:56 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 200 425284
144.124.25.241 - - [30/Jan/2013:07:39:02 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.137.69 - - [30/Jan/2013:07:41:11 -0600] "GET /monstermashnew/web HTTP/1.1" 302 -
144.124.137.69 - - [30/Jan/2013:07:41:11 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.137.69 - - [30/Jan/2013:07:41:11 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 200 2483
144.124.137.69 - - [30/Jan/2013:07:41:11 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 200 425284
144.124.137.69 - - [30/Jan/2013:07:41:16 -0600] "POST /monstermashnew/web/Login_servlet HTTP/1.1" 404 1015
144.124.2.120 - - [30/Jan/2013:07:50:43 -0600] "GET /stuess_test HTTP/1.1" 302 -
144.124.2.120 - - [30/Jan/2013:07:50:43 -0600] "GET /stuess_test/ HTTP/1.1" 200 58
144.124.2.120 - - [30/Jan/2013:07:50:58 -0600] "GET /stuess_test/montermash HTTP/1.1" 404 995
144.124.2.120 - - [30/Jan/2013:07:51:04 -0600] "GET /stuess_test/monstermash HTTP/1.1" 302 -
144.124.2.120 - - [30/Jan/2013:07:51:04 -0600] "GET /stuess_test/monstermash/ HTTP/1.1" 200 1650
144.124.2.120 - - [30/Jan/2013:07:51:23 -0600] "POST /login HTTP/1.1" 404 961
144.124.2.120 - - [30/Jan/2013:07:51:25 -0600] "GET /monstermash/register HTTP/1.1" 404 991
144.124.2.120 - - [30/Jan/2013:07:51:52 -0600] "GET /nathan_test HTTP/1.1" 302 -
144.124.2.120 - - [30/Jan/2013:07:51:52 -0600] "GET /nathan_test/ HTTP/1.1" 404 975
144.124.137.69 - - [30/Jan/2013:07:53:23 -0600] "GET /monstermashnew/web HTTP/1.1" 302 -
144.124.137.69 - - [30/Jan/2013:07:53:23 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.137.69 - - [30/Jan/2013:07:53:23 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 200 2483
144.124.137.69 - - [30/Jan/2013:07:53:24 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 200 425284
144.124.137.69 - - [30/Jan/2013:07:53:26 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.137.69 - - [30/Jan/2013:07:53:28 -0600] "GET /monstermashnew/web/registration.jsp HTTP/1.1" 500 2534
144.124.137.69 - - [30/Jan/2013:07:56:09 -0600] "GET /monstermashnew/web HTTP/1.1" 302 -
144.124.137.69 - - [30/Jan/2013:07:56:09 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.137.69 - - [30/Jan/2013:07:56:10 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 304 -
144.124.137.69 - - [30/Jan/2013:07:56:10 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 304 -
144.124.137.69 - - [30/Jan/2013:07:57:03 -0600] "GET /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.137.69 - - [30/Jan/2013:07:57:11 -0600] "GET /monstermashnew/web/registration.txt HTTP/1.1" 404 1021
144.124.137.69 - - [30/Jan/2013:07:57:15 -0600] "GET /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.137.69 - - [30/Jan/2013:07:58:09 -0600] "GET /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
2.100.164.125 - - [30/Jan/2013:07:58:48 -0600] "GET /monstermash/ HTTP/1.1" 200 1544
2.100.164.125 - - [30/Jan/2013:07:58:50 -0600] "GET /monstermash/static/theme.css HTTP/1.1" 200 1724
2.100.164.125 - - [30/Jan/2013:07:58:50 -0600] "GET /monstermash/static/normalize.css HTTP/1.1" 200 7742
2.100.164.125 - - [30/Jan/2013:07:58:50 -0600] "GET /monstermash/static/images/pw_maze_black.png HTTP/1.1" 200 600
2.100.164.125 - - [30/Jan/2013:07:58:50 -0600] "GET /monstermash/static/images/scare.jpg HTTP/1.1" 200 425284
2.100.164.125 - - [30/Jan/2013:07:58:57 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
62.24.222.131 - - [30/Jan/2013:07:59:21 -0600] "GET /monstermash/ HTTP/1.0" 200 1544
144.124.140.148 - - [30/Jan/2013:08:09:43 -0600] "GET /tomcat.css HTTP/1.1" 200 5926
144.124.140.148 - - [30/Jan/2013:08:09:43 -0600] "GET /tomcat.png HTTP/1.1" 200 5103
144.124.140.148 - - [30/Jan/2013:08:09:43 -0600] "GET / HTTP/1.1" 200 11444
144.124.140.148 - - [30/Jan/2013:08:09:43 -0600] "GET /bg-button.png HTTP/1.1" 200 713
144.124.140.148 - - [30/Jan/2013:08:09:43 -0600] "GET /bg-nav.png HTTP/1.1" 200 1401
144.124.140.148 - - [30/Jan/2013:08:09:43 -0600] "GET /bg-upper.png HTTP/1.1" 200 3103
144.124.140.148 - - [30/Jan/2013:08:09:43 -0600] "GET /bg-middle.png HTTP/1.1" 200 1918
144.124.140.148 - - [30/Jan/2013:08:09:43 -0600] "GET /asf-logo.png HTTP/1.1" 200 17811
144.124.140.148 - - [30/Jan/2013:08:09:52 -0600] "GET /monstermashnew/web HTTP/1.1" 302 -
144.124.140.148 - - [30/Jan/2013:08:09:52 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.140.148 - - [30/Jan/2013:08:09:52 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 200 2483
144.124.140.148 - - [30/Jan/2013:08:09:52 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 200 425284
144.124.140.148 - - [30/Jan/2013:08:09:57 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:16:54 -0600] "GET / HTTP/1.1" 200 11444
144.124.140.148 - - [30/Jan/2013:08:17:02 -0600] "GET /host-manager/html HTTP/1.1" 401 2112
144.124.140.148 - - [30/Jan/2013:08:17:16 -0600] "GET /host-manager/html HTTP/1.1" 401 2112
144.124.140.148 - - [30/Jan/2013:08:18:01 -0600] "GET /host-manager/html HTTP/1.1" 401 2112
144.124.140.148 - - [30/Jan/2013:08:18:06 -0600] "GET /host-manager/html HTTP/1.1" 401 2112
144.124.140.148 - - [30/Jan/2013:08:18:11 -0600] "GET /manager/html HTTP/1.1" 401 2550
144.124.140.148 - admin [30/Jan/2013:08:18:31 -0600] "GET /manager/images/tomcat.gif HTTP/1.1" 200 2066
144.124.140.148 - admin [30/Jan/2013:08:18:31 -0600] "GET /manager/images/asf-logo.gif HTTP/1.1" 200 7279
144.124.140.148 - admin [30/Jan/2013:08:18:31 -0600] "GET /manager/html HTTP/1.1" 200 25759
144.124.140.148 - admin [30/Jan/2013:08:18:42 -0600] "GET /manager/ HTTP/1.1" 302 -
144.124.140.148 - admin [30/Jan/2013:08:18:43 -0600] "GET /manager/html?org.apache.catalina.filters.CSRF_NONCE=86F1DA4A786A7FA1ED767F794E01F896 HTTP/1.1" 200 25759
144.124.140.148 - admin [30/Jan/2013:08:18:45 -0600] "GET /manager/html/list?org.apache.catalina.filters.CSRF_NONCE=F47FE4EE6A2C93EA09F64D352D4950C1 HTTP/1.1" 200 25759
144.124.140.148 - - [30/Jan/2013:08:18:57 -0600] "GET /host-manager/html HTTP/1.1" 401 2112
144.124.140.148 - admin [30/Jan/2013:08:19:02 -0600] "GET /host-manager/html HTTP/1.1" 200 7110
144.124.140.148 - admin [30/Jan/2013:08:19:03 -0600] "GET /host-manager/images/asf-logo.gif HTTP/1.1" 200 7279
144.124.140.148 - admin [30/Jan/2013:08:19:03 -0600] "GET /host-manager/images/tomcat.gif HTTP/1.1" 200 1934
144.124.140.148 - admin [30/Jan/2013:08:19:14 -0600] "GET /host-manager/html/list?org.apache.catalina.filters.CSRF_NONCE=4F97165CE4D0527BFF4FD3505313F6EB HTTP/1.1" 200 7110
144.124.140.148 - - [30/Jan/2013:08:19:23 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.140.148 - - [30/Jan/2013:08:19:23 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 304 -
144.124.140.148 - - [30/Jan/2013:08:19:24 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:21:37 -0600] "GET / HTTP/1.1" 200 11444
144.124.140.148 - - [30/Jan/2013:08:21:49 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.140.148 - - [30/Jan/2013:08:21:49 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 304 -
144.124.140.148 - - [30/Jan/2013:08:21:51 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:25:09 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:27:41 -0600] "GET /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:28:58 -0600] "GET /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:29:09 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.140.148 - - [30/Jan/2013:08:29:09 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 304 -
144.124.140.148 - - [30/Jan/2013:08:29:09 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 304 -
144.124.140.148 - - [30/Jan/2013:08:29:12 -0600] "POST /monstermashnew/web/Login_servlet HTTP/1.1" 404 1015
144.124.140.148 - - [30/Jan/2013:08:29:21 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:30:52 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:30:55 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 2534
144.124.140.148 - - [30/Jan/2013:08:31:45 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:34:04 -0600] "GET /monstermashnew/ HTTP/1.1" 404 981
144.124.140.148 - - [30/Jan/2013:08:37:47 -0600] "GET /monstermashnew/ HTTP/1.1" 404 981
144.124.140.148 - - [30/Jan/2013:08:37:50 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.140.148 - - [30/Jan/2013:08:37:50 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 304 -
144.124.140.148 - - [30/Jan/2013:08:37:50 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 304 -
144.124.140.148 - - [30/Jan/2013:08:37:51 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3056
144.124.140.148 - - [30/Jan/2013:08:42:30 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3056
144.124.140.148 - - [30/Jan/2013:08:43:39 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:45:47 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:46:02 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:08:51:20 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:09:13:22 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.140.148 - - [30/Jan/2013:09:13:23 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 304 -
144.124.140.148 - - [30/Jan/2013:09:13:34 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:09:15:12 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.140.148 - - [30/Jan/2013:09:15:16 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.140.148 - - [30/Jan/2013:09:15:16 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 304 -
144.124.140.148 - - [30/Jan/2013:09:15:16 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:09:46:46 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.25.241 - - [30/Jan/2013:09:46:46 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:09:46:46 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:09:46:48 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.25.241 - - [30/Jan/2013:09:46:52 -0600] "POST /monstermashnew/web/Login_servlet HTTP/1.1" 404 1015
144.124.25.241 - - [30/Jan/2013:09:47:00 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.25.241 - - [30/Jan/2013:09:47:03 -0600] "POST /monstermashnew/web/Login_servlet HTTP/1.1" 404 1015
144.124.25.241 - - [30/Jan/2013:09:47:11 -0600] "POST /monstermashnew/web/Login_servlet HTTP/1.1" 404 1015
144.124.140.148 - - [30/Jan/2013:09:47:42 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.25.241 - - [30/Jan/2013:09:56:34 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.25.241 - - [30/Jan/2013:10:02:28 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
144.124.25.241 - - [30/Jan/2013:10:02:28 -0600] "GET /favicon.ico HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:10:02:33 -0600] "GET /monstermashnew/web/ HTTP/1.1" 200 1553
144.124.25.241 - - [30/Jan/2013:10:02:33 -0600] "GET /monstermashnew/web/style.css HTTP/1.1" 200 2483
144.124.25.241 - - [30/Jan/2013:10:02:33 -0600] "GET /monstermashnew/web/Graphics/scare.jpg HTTP/1.1" 200 425284
144.124.25.241 - - [30/Jan/2013:10:02:36 -0600] "POST /monstermashnew/web/registration.jsp HTTP/1.1" 500 3068
180.76.6.36 - - [30/Jan/2013:10:10:31 -0600] "GET / HTTP/1.1" 200 11444
144.124.25.241 - - [30/Jan/2013:10:26:19 -0600] "GET /monstermashnew HTTP/1.1" 302 -
144.124.25.241 - - [30/Jan/2013:10:26:19 -0600] "GET /monstermashnew/ HTTP/1.1" 404 981
144.124.25.241 - - [30/Jan/2013:10:26:22 -0600] "GET /test_nathan HTTP/1.1" 302 -
144.124.25.241 - - [30/Jan/2013:10:26:22 -0600] "GET /test_nathan/ HTTP/1.1" 200 1553
144.124.25.241 - - [30/Jan/2013:10:26:22 -0600] "GET /test_nathan/style.css HTTP/1.1" 200 2483
144.124.25.241 - - [30/Jan/2013:10:26:23 -0600] "GET /test_nathan/Graphics/scare.jpg HTTP/1.1" 200 425284
144.124.25.241 - - [30/Jan/2013:10:26:25 -0600] "POST /test_nathan/registration.jsp HTTP/1.1" 500 3068
144.124.25.241 - - [30/Jan/2013:10:27:31 -0600] "GET /test_nathan/registration.js HTTP/1.1" 404 1005
144.124.25.241 - - [30/Jan/2013:10:27:33 -0600] "GET /test_nathan/registration.jsp HTTP/1.1" 200 1448
144.124.25.241 - - [30/Jan/2013:10:27:33 -0600] "GET /test_nathan/style.css HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:10:27:33 -0600] "GET /test_nathan/Graphics/scare.jpg HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:10:28:12 -0600] "POST /test_nathan/Registration_servlet HTTP/1.1" 404 1015
144.124.25.241 - - [30/Jan/2013:10:28:41 -0600] "POST /test_nathan/Registration_servlet HTTP/1.1" 404 1015
144.124.25.241 - - [30/Jan/2013:10:29:53 -0600] "GET /test_nathan/registration.jsp HTTP/1.1" 200 1448
144.124.25.241 - - [30/Jan/2013:10:29:53 -0600] "GET /test_nathan/style.css HTTP/1.1" 304 -
